PdfType: replica
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00 
1.14018E+00 1.22539E+00 1.32482E+00 1.44156E+00 1.57954E+00 1.74381E+00 1.94091E+00 2.12132E+00 2.17945E+00 2.49622E+00 2.89383E+00 3.39925E+00 4.05063E+00 4.90286E+00 6.03623E+00 7.57063E+00 9.68869E+00 1.26749E+01 1.69835E+01 2.33578E+01 3.30501E+01 4.82334E+01 7.28041E+01 1.13998E+02 1.85779E+02 3.16228E+02 
908 909 
-5.45155E+02 1.54282E+01 
-6.85454E+02 3.11680E+01 
-8.13150E+02 5.13640E+01 
1.25929E+01 4.15711E+00 
9.83625E+00 3.59173E+00 
1.27928E+01 6.85123E+00 
6.98111E+00 5.72894E+00 
4.33513E-01 4.48813E+00 
-6.91737E+00 3.14757E+00 
-1.51392E+01 1.73080E+00 
-2.21403E+01 6.00235E-01 
-2.42977E+01 2.66422E-01 
-3.52952E+01 -1.32714E+00 
-4.75298E+01 -2.88829E+00 
-6.10699E+01 -4.36183E+00 
-7.59749E+01 -5.68604E+00 
-8.80396E+01 -5.37746E+00 
-1.06187E+02 -6.13675E+00 
-1.25910E+02 -6.56288E+00 
-1.47252E+02 -6.56395E+00 
-1.70260E+02 -6.03886E+00 
-1.95020E+02 -4.87704E+00 
-2.21814E+02 -2.95510E+00 
-2.51719E+02 -1.15404E-01 
-2.88604E+02 3.94375E+00 
-3.43179E+02 1.00507E+01 
-4.29454E+02 1.99484E+01 
-5.38129E+02 3.47586E+01 
-6.36069E+02 5.30058E+01 
1.06474E+01 3.23061E+00 
8.40410E+00 2.76918E+00 
1.10304E+01 5.66823E+00 
6.29199E+00 4.77526E+00 
9.52122E-01 3.79452E+00 
-5.04107E+00 2.74392E+00 
-1.17388E+01 1.64523E+00 
-1.74358E+01 7.78321E-01 
-1.91899E+01 5.24223E-01 
-2.81209E+01 -6.75260E-01 
-3.80339E+01 -1.82385E+00 
-4.89749E+01 -2.87431E+00 
-6.09819E+01 -3.77454E+00 
-7.04975E+01 -3.35294E+00 
-8.49767E+01 -3.75439E+00 
-1.00659E+02 -3.85307E+00 
-1.17564E+02 -3.57295E+00 
-1.35712E+02 -2.83100E+00 
-1.55152E+02 -1.53654E+00 
-1.76089E+02 4.13504E-01 
-1.99346E+02 3.16010E+00 
-2.27939E+02 6.99927E+00 
-2.70218E+02 1.27505E+01 
-3.37002E+02 2.20251E+01 
-4.20729E+02 3.56020E+01 
-4.95361E+02 5.18029E+01 
9.01109E+00 2.43701E+00 
7.18547E+00 2.06020E+00 
9.52337E+00 4.63340E+00 
5.66300E+00 3.92409E+00 
1.31191E+00 3.15109E+00 
-3.56926E+00 2.33109E+00 
-9.01868E+00 1.48384E+00 
-1.36478E+01 8.24000E-01 
-1.50719E+01 6.32245E-01 
-2.23127E+01 -2.60997E-01 
-3.03291E+01 -1.09284E+00 
-3.91507E+01 -1.82328E+00 
-4.87996E+01 -2.40876E+00 
-5.62750E+01 -1.93186E+00 
-6.77955E+01 -2.08406E+00 
-8.02265E+01 -1.96547E+00 
-9.35720E+01 -1.51369E+00 
-1.07833E+02 -6.61123E-01 
-1.23035E+02 6.65907E-01 
-1.39319E+02 2.55260E+00 
-1.57314E+02 5.12272E+00 
-1.79359E+02 8.65542E+00 
-2.11935E+02 1.39286E+01 
-2.63346E+02 2.23983E+01 
-3.27467E+02 3.45864E+01 
-3.83920E+02 4.87542E+01 
7.61364E+00 1.77934E+00 
6.12873E+00 1.47052E+00 
8.21329E+00 3.74985E+00 
5.07164E+00 3.18628E+00 
1.53049E+00 2.57774E+00 
-2.43961E+00 1.93946E+00 
-6.86658E+00 1.28907E+00 
-1.06216E+01 7.90180E-01 
-1.17757E+01 6.46656E-01 
-1.76346E+01 -1.13607E-02 
-2.41030E+01 -6.03274E-01 
-3.11983E+01 -1.09555E+00 
-3.89310E+01 -1.45213E+00 
-4.47774E+01 -9.61496E-01 
-5.39160E+01 -9.46961E-01 
-6.37370E+01 -6.93489E-01 
-7.42334E+01 -1.50323E-01 
-8.53948E+01 7.37065E-01 
-9.72271E+01 2.02797E+00 
-1.09828E+02 3.79204E+00 
-1.23673E+02 6.13618E+00 
-1.40567E+02 9.31589E+00 
-1.65513E+02 1.40473E+01 
-2.04847E+02 2.16211E+01 
-2.53621E+02 3.23697E+01 
-2.95963E+02 4.45918E+01 
6.41269E+00 1.24647E+00 
5.20608E+00 9.91614E-01 
7.06693E+00 3.00647E+00 
4.51374E+00 2.55747E+00 
1.63604E+00 2.07790E+00 
-1.58777E+00 1.58142E+00 
-5.17764E+00 1.08359E+00 
-8.21760E+00 7.08399E-01 
-9.15088E+00 6.01746E-01 
-1.38811E+01 1.22069E-01 
-1.90875E+01 -2.90915E-01 
-2.47787E+01 -6.09369E-01 
-3.09571E+01 -8.03729E-01 
-3.55067E+01 -3.28164E-01 
-4.27319E+01 -2.08591E-01 
-5.04628E+01 1.19329E-01 
-5.86850E+01 6.96509E-01 
-6.73808E+01 1.56650E+00 
-7.65443E+01 2.77651E+00 
-8.62399E+01 4.38285E+00 
-9.68246E+01 6.47641E+00 
-1.09683E+02 9.28545E+00 
-1.28655E+02 1.34532E+01 
-1.58540E+02 2.01048E+01 
-1.95356E+02 2.94357E+01 
-2.26804E+02 3.98459E+01 
5.38071E+00 8.20899E-01 
4.40154E+00 6.08394E-01 
6.06407E+00 2.38562E+00 
3.99251E+00 2.02586E+00 
1.65799E+00 1.64649E+00 
-9.54952E-01 1.25960E+00 
-3.86007E+00 8.78689E-01 
-6.31569E+00 5.97437E-01 
-7.06867E+00 5.18607E-01 
-1.08782E+01 1.72186E-01 
-1.50575E+01 -1.09750E-01 
-1.96087E+01 -3.04327E-01 
-2.45290E+01 -3.87540E-01 
-2.80500E+01 5.40494E-02 
-3.37420E+01 2.33456E-01 
-3.98035E+01 5.92619E-01 
-4.62159E+01 1.16419E+00 
-5.29574E+01 1.98258E+00 
-6.00144E+01 3.08491E+00 
-6.74272E+01 4.51615E+00 
-7.54613E+01 6.35240E+00 
-8.51720E+01 8.79335E+00 
-9.94885E+01 1.24047E+01 
-1.22016E+02 1.81523E+01 
-1.49561E+02 2.61353E+01 
-1.72649E+02 3.48943E+01 
4.49734E+00 4.83688E-01 
3.70399E+00 3.04129E-01 
5.19022E+00 1.86809E+00 
3.51247E+00 1.57725E+00 
1.62221E+00 1.27504E+00 
-4.91265E-01 9.71997E-01 
-2.83700E+00 6.79711E-01 
-4.81581E+00 4.68871E-01 
-5.42180E+00 4.10739E-01 
-8.48168E+00 1.62272E-01 
-1.18266E+01 -2.57240E-02 
-1.54545E+01 -1.34641E-01 
-1.93589E+01 -1.45188E-01 
-2.20670E+01 2.51083E-01 
-2.65341E+01 4.58030E-01 
-3.12663E+01 8.18564E-01 
-3.62434E+01 1.35846E+00 
-4.14413E+01 2.10456E+00 
-4.68424E+01 3.08568E+00 
-5.24695E+01 4.33719E+00 
-5.85182E+01 5.92185E+00 
-6.57870E+01 8.01097E+00 
-7.64936E+01 1.10926E+01 
-9.33209E+01 1.59839E+01 
-1.13718E+02 2.27188E+01 
-1.30434E+02 2.99990E+01 
3.74549E+00 2.17274E-01 
3.10375E+00 6.31879E-02 
4.43295E+00 1.43588E+00 
3.07675E+00 1.19788E+00 
1.54930E+00 9.54586E-01 
-1.56443E-01 7.15085E-01 
-2.04600E+00 4.89198E-01 
-3.63647E+00 3.30402E-01 
-4.12285E+00 2.87428E-01 
-6.57357E+00 1.09625E-01 
-9.24225E+00 -1.27818E-02 
-1.21242E+01 -6.48126E-02 
-1.52107E+01 -3.11298E-02 
-1.72794E+01 3.14132E-01 
-2.07707E+01 5.26300E-01 
-2.44483E+01 8.68503E-01 
-2.82910E+01 1.36083E+00 
-3.22749E+01 2.02393E+00 
-3.63801E+01 2.87979E+00 
-4.06173E+01 3.95579E+00 
-4.51288E+01 5.30281E+00 
-5.05138E+01 7.06504E+00 
-5.84376E+01 9.65596E+00 
-7.08742E+01 1.37568E+01 
-8.57959E+01 1.93598E+01 
-9.76922E+01 2.53359E+01 
3.10948E+00 6.70672E-03 
2.59121E+00 -1.27736E-01 
3.78037E+00 1.07349E+00 
2.68620E+00 8.75754E-01 
1.45449E+00 6.77123E-01 
8.09296E-02 4.85325E-01 
-1.43739E+00 3.08594E-01 
-2.71230E+00 1.87683E-01 
-3.10157E+00 1.55615E-01 
-5.05853E+00 2.76757E-02 
-7.18068E+00 -5.04559E-02 
-9.46163E+00 -6.68546E-02 
-1.18918E+01 -9.46759E-03 
-1.34601E+01 2.83208E-01 
-1.61769E+01 4.85862E-01 
-1.90206E+01 7.97654E-01 
-2.19707E+01 1.23401E+00 
-2.50040E+01 1.81054E+00 
-2.81000E+01 2.54370E+00 
-3.12614E+01 3.45425E+00 
-3.45899E+01 4.58264E+00 
-3.85312E+01 6.04792E+00 
-4.43236E+01 8.19397E+00 
-5.34005E+01 1.15802E+01 
-6.41579E+01 1.61748E+01 
-7.24423E+01 2.10161E+01 
2.57448E+00 -1.60063E-01 
2.15652E+00 -2.79330E-01 
3.22067E+00 7.68223E-01 
2.33958E+00 6.01051E-01 
1.34839E+00 4.36071E-01 
2.44835E-01 2.79779E-01 
-9.72100E-01 1.38999E-01 
-1.99124E+00 4.52128E-02 
-2.30189E+00 2.08334E-02 
-3.85973E+00 -7.28438E-02 
-5.54146E+00 -1.22427E-01 
-7.33986E+00 -1.18535E-01 
-9.24507E+00 -5.18185E-02 
-1.04240E+01 1.89580E-01 
-1.25283E+01 3.73656E-01 
-1.47156E+01 6.48548E-01 
-1.69663E+01 1.02589E+00 
-1.92589E+01 1.51725E+00 
-2.15734E+01 2.13461E+00 
-2.39072E+01 2.89332E+00 
-2.63317E+01 3.82485E+00 
-2.91746E+01 5.02537E+00 
-3.33466E+01 6.77539E+00 
-3.98719E+01 9.52694E+00 
-4.74882E+01 1.32366E+01 
-5.30944E+01 1.71026E+01 
2.12659E+00 -2.92398E-01 
1.78987E+00 -3.99860E-01 
2.74236E+00 5.10005E-01 
2.03407E+00 3.66006E-01 
1.23801E+00 2.26282E-01 
3.53359E-01 9.62252E-02 
-6.19571E-01 -1.85732E-02 
-1.43199E+00 -9.32878E-02 
-1.67917E+00 -1.12370E-01 
-2.91538E+00 -1.83275E-01 
-4.24339E+00 -2.15654E-01 
-5.65570E+00 -2.02226E-01 
-7.14267E+00 -1.35842E-01 
-8.02061E+00 5.75191E-02 
-9.64259E+00 2.18099E-01 
-1.13153E+01 4.53603E-01 
-1.30208E+01 7.72624E-01 
-1.47394E+01 1.18347E+00 
-1.64525E+01 1.69462E+00 
-1.81540E+01 2.31700E+00 
-1.98930E+01 3.07441E+00 
-2.19073E+01 4.04271E+00 
-2.48580E+01 5.44577E+00 
-2.94621E+01 7.64229E+00 
-3.47320E+01 1.05862E+01 
-3.83776E+01 1.36238E+01 
1.75296E+00 -3.97427E-01 
1.48186E+00 -4.95590E-01 
2.33452E+00 2.90959E-01 
1.76599E+00 1.64583E-01 
1.12777E+00 4.37989E-02 
4.20096E-01 -6.69665E-02 
-3.55871E-01 -1.63188E-01 
-1.00174E+00 -2.24750E-01 
-1.19785E+00 -2.40278E-01 
-2.17575E+00 -2.96684E-01 
-3.22069E+00 -3.19811E-01 
-4.32529E+00 -3.04089E-01 
-5.48047E+00 -2.44151E-01 
-6.12739E+00 -9.43935E-02 
-7.37120E+00 4.07274E-02 
-8.64253E+00 2.37125E-01 
-9.92535E+00 5.00964E-01 
-1.12019E+01 8.38003E-01 
-1.24553E+01 1.25392E+00 
-1.36776E+01 1.75616E+00 
-1.49015E+01 2.36203E+00 
-1.62970E+01 3.12964E+00 
-1.83362E+01 4.23313E+00 
