PdfType: replica
Format: lhagrid1
---
1.00000E-06 1.28121E-06 1.64152E-06 2.10317E-06 2.69463E-06 3.45242E-06 4.42329E-06 5.66715E-06 7.26076E-06 9.30241E-06 1.19180E-05 1.52689E-05 1.95617E-05 2.50609E-05 3.21053E-05 4.11287E-05 5.26863E-05 6.74889E-05 8.64459E-05 1.10720E-04 1.41800E-04 1.81585E-04 2.32503E-04 2.97652E-04 3.80981E-04 4.87518E-04 6.26039E-04 8.00452E-04 1.02297E-03 1.30657E-03 1.66759E-03 2.12729E-03 2.71054E-03 3.44865E-03 4.37927E-03 5.54908E-03 7.01192E-03 8.83064E-03 1.10763E-02 1.38266E-02 1.71641E-02 2.11717E-02 2.59364E-02 3.15062E-02 3.79623E-02 4.53425E-02 5.36750E-02 6.29705E-02 7.32221E-02 8.44039E-02 9.64793E-02 1.09332E-01 1.23067E-01 1.37507E-01 1.52639E-01 1.68416E-01 1.84794E-01 2.01731E-01 2.19016E-01 2.36948E-01 2.55242E-01 2.73927E-01 2.92954E-01 3.12340E-01 3.32036E-01 3.52019E-01 3.72282E-01 3.92772E-01 4.13533E-01 4.34326E-01 4.55495E-01 4.76836E-01 4.98342E-01 5.20006E-01 5.41818E-01 5.63773E-01 5.85861E-01 6.08077E-01 6.30459E-01 6.52800E-01 6.75387E-01 6.98063E-01 7.20830E-01 7.43683E-01 7.66623E-01 7.89636E-01 8.12791E-01 8.35940E-01 8.59175E-01 8.82485E-01 9.05866E-01 9.29311E-01 9.52817E-01 9.76387E-01 1.00000E+00 
1.14018E+00 1.22539E+00 1.32482E+00 1.44156E+00 1.57954E+00 1.74381E+00 1.94091E+00 2.12132E+00 2.17945E+00 2.49622E+00 2.89383E+00 3.39925E+00 4.05063E+00 4.90286E+00 6.03623E+00 7.57063E+00 9.68869E+00 1.26749E+01 1.69835E+01 2.33578E+01 3.30501E+01 4.82334E+01 7.28041E+01 1.13998E+02 1.85779E+02 3.16228E+02 
908 909 
-8.48812E+01 7.48385E+00 
-9.53600E+01 9.76541E+00 
-1.08108E+02 1.27630E+01 
-1.26977E+02 1.70984E+01 
-1.56778E+02 2.38690E+01 
-1.93520E+02 3.32906E+01 
-2.24875E+02 4.38273E+01 
5.71034E+00 1.92335E+00 
4.75690E+00 1.75949E+00 
6.44674E+00 3.58961E+00 
4.40459E+00 3.28762E+00 
2.10102E+00 2.97001E+00 
-4.79264E-01 2.64909E+00 
-3.34984E+00 2.33858E+00 
-5.77732E+00 2.11499E+00 
-6.52183E+00 2.05356E+00 
-1.02894E+01 1.79355E+00 
-1.44237E+01 1.60398E+00 
-1.89268E+01 1.50800E+00 
-2.37954E+01 1.52988E+00 
-2.72581E+01 2.08465E+00 
-3.28868E+01 2.38506E+00 
-3.88799E+01 2.87318E+00 
-4.52186E+01 3.58196E+00 
-5.18805E+01 4.54611E+00 
-5.88517E+01 5.80298E+00 
-6.61721E+01 7.39736E+00 
-7.41078E+01 9.40377E+00 
-8.37167E+01 1.20149E+01 
-9.79371E+01 1.57766E+01 
-1.20387E+02 2.16291E+01 
-1.47863E+02 2.96906E+01 
-1.70864E+02 3.85608E+01 
4.79970E+00 1.53532E+00 
4.03020E+00 1.40014E+00 
5.54180E+00 3.01242E+00 
3.89142E+00 2.77436E+00 
2.02999E+00 2.52861E+00 
-5.30320E-02 2.28593E+00 
-2.36653E+00 2.05809E+00 
-4.31907E+00 1.90004E+00 
-4.91714E+00 1.85784E+00 
-7.93775E+00 1.68848E+00 
-1.12406E+01 1.58501E+00 
-1.48235E+01 1.56629E+00 
-1.86797E+01 1.65182E+00 
-2.13335E+01 2.15129E+00 
-2.57415E+01 2.46843E+00 
-3.04101E+01 2.94628E+00 
-3.53185E+01 3.61086E+00 
-4.04425E+01 4.48927E+00 
-4.57638E+01 5.61048E+00 
-5.13052E+01 7.00966E+00 
-5.72625E+01 8.74806E+00 
-6.44368E+01 1.09905E+01 
